hour,Total,Daily Avg,Percent,Percent Avg
0,49397,32.5194206714944,0.7446701220051777,17.872082928124268
1,42034,27.672152732060567,0.6336713547050558,15.20811251292134
2,37291,24.54970375246873,0.5621696362065527,13.492071268957265
3,28632,18.84924292297564,0.4316333974381491,10.359201538515578
4,28327,18.64845292955892,0.42703545855093766,10.248851005222505
5,37439,24.647136273864383,0.5644007672075602,13.545618412981444
6,217900,143.449637919684,3.2848881426995207,78.8373154247885
7,339930,223.78538512179065,5.12451595386805,122.9883828928332
8,411649,271.0,6.205694901579234,148.93667763790162
9,433852,285.61685319289006,6.540409777358754,156.9698346566101
10,460232,302.9835418038183,6.938093803078871,166.5142512738929
11,495446,326.1658986175115,7.468952229223986,179.25485350137572
12,507113,333.8466096115866,7.644834698066921,183.47603275360612
13,505591,332.8446346280448,7.621890229259264,182.92536550222232
14,502553,330.8446346280448,7.576091742900745,181.82620182961787
15,524912,345.5641869651086,7.913158351357002,189.9158004325681
16,378170,248.95984200131664,5.7009919638580895,136.82380713259417
17,352027,231.74917709019093,5.3068807627814785,127.36513830675548
18,341263,224.66293614219882,5.144611208086584,123.47066899407801
19,268133,176.5194206714944,4.042161139818497,97.01186735564394
20,224530,147.81435154707043,3.384836781460869,81.23608275506086
21,195520,128.71626069782752,2.9475049548444714,70.74011891626732
22,191605,126.13890717577354,2.8884855097840374,69.32365223481689
23,59861,39.40816326530612,0.9024171138601927,21.658010732644627
