0,27020
1,23718
2,18580
3,18031
4,16026
5,18893
6,34179
7,93373
8,154032
9,76966
10,85864
11,92242
12,94985
13,96353
14,139946
15,226237
16,161422
17,79999
18,71879
19,59047
20,43347
21,40012
22,37716
23,33857
