Issue Date,State
2017-03-12,1328
2017-03-13,1268
2017-03-14,182
2017-03-15,752
2017-03-16,1128
2017-03-17,1269
2017-03-18,967
2017-03-19,1359
2017-03-20,1098
2017-03-21,1270
2017-03-22,1386
2017-03-23,1347
2017-03-24,1278
2017-03-25,1366
2017-03-26,1081
2017-03-27,1021
2017-03-28,919
2017-03-29,1375
2017-03-30,1288
2017-03-31,1053
2017-04-01,1393
2017-04-02,1748
2017-04-03,1325
2017-04-04,1038
2017-04-05,1236
2017-04-06,1034
2017-04-07,1352
2017-04-08,1902
2017-04-09,1656
2017-04-10,1400
2017-04-11,1261
2017-04-12,1118
2017-04-13,1381
2017-04-14,1606
2017-04-15,1487
2017-04-16,1619
2017-04-17,1190
2017-04-18,1262
2017-04-19,1206
2017-04-20,1280
2017-04-21,1136
2017-04-22,1430
2017-04-23,1442
2017-04-24,1094
2017-04-25,966
2017-04-26,1052
2017-04-27,1274
2017-04-28,1489
2017-04-29,1772
2017-04-30,1316
2017-05-01,1222
2017-05-02,1369
2017-05-03,1551
2017-05-04,1491
2017-05-05,1225
2017-05-06,1797
2017-05-07,1582
2017-05-08,1417
2017-05-09,1340
2017-05-10,1467
2017-05-11,1345
2017-05-12,1605
2017-05-13,1184
2017-05-14,2078
2017-05-15,1481
2017-05-16,1442
2017-05-17,1587
2017-05-18,1699
2017-05-19,1997
2017-05-20,1950
2017-05-21,2004
2017-05-22,1069
2017-05-23,1312
2017-05-24,1468
2017-05-25,1270
2017-05-26,1587
2017-05-27,1455
2017-05-28,1522
2017-05-29,1013
2017-05-30,1213
2017-05-31,1441
2017-06-01,1461
2017-06-02,1784
2017-06-03,2041
2017-06-04,1529
2017-06-05,1197
2017-06-06,1111
2017-06-07,1531
2017-06-08,1580
2017-06-09,1752
2017-06-10,1978
2017-06-11,2091
2017-06-12,1642
2017-06-13,1649
2017-06-14,1641
2017-06-15,1755
2017-06-16,1435
2017-06-17,1651
2017-06-18,1988
2017-06-19,1452
2017-06-20,1743
2017-06-21,1805
2017-06-22,2002
2017-06-23,1711
2017-06-24,2290
2017-06-25,2084
2017-06-26,1691
2017-06-27,1632
2017-06-28,1950
2017-06-29,1884
2017-06-30,1820
2017-07-01,1893
2017-07-02,1838
2017-07-03,1598
2017-07-04,1403
2017-07-05,1809
2017-07-06,1524
2017-07-07,1637
2017-07-08,1891
2017-07-09,1860
2017-07-10,1606
2017-07-11,1531
2017-07-12,1529
2017-07-13,1540
2017-07-14,1452
2017-07-15,2006
2017-07-16,2127
2017-07-17,1658
2017-07-18,1771
2017-07-19,1663
2017-07-20,1790
2017-07-21,2037
2017-07-22,2084
2017-07-23,1608
2017-07-24,1314
2017-07-25,1371
2017-07-26,1648
2017-07-27,1523
2017-07-28,1671
2017-07-29,1616
2017-07-30,1970
2017-07-31,1718
2017-08-01,1627
2017-08-02,1399
2017-08-03,1722
2017-08-04,1939
2017-08-05,1846
2017-08-06,1806
2017-08-07,1108
2017-08-08,1512
2017-08-09,1662
2017-08-10,1734
2017-08-11,1828
2017-08-12,1682
2017-08-13,1947
2017-08-14,1406
2017-08-15,1299
2017-08-16,1705
2017-08-17,1746
2017-08-18,1411
2017-08-19,2077
2017-08-20,2101
2017-08-21,1547
2017-08-22,1570
2017-08-23,1681
2017-08-24,1713
2017-08-25,1689
2017-08-26,2149
2017-08-27,1913
2017-08-28,1553
2017-08-29,1227
2017-08-30,1709
2017-08-31,1761
2017-09-01,1844
2017-09-02,1547
2017-09-03,1311
2017-09-04,1788
2017-09-05,1556
2017-09-06,1289
2017-09-07,1700
2017-09-08,1873
2017-09-09,2033
2017-09-10,1968
2017-09-11,1641
2017-09-12,1583
2017-09-13,1662
2017-09-14,1545
2017-09-15,1887
2017-09-16,1917
2017-09-17,2026
2017-09-18,1362
2017-09-19,1264
2017-09-20,1367
2017-09-21,1309
2017-09-22,1591
2017-09-23,2149
2017-09-24,2029
2017-09-25,1527
2017-09-26,1466
2017-09-27,1544
2017-09-28,1757
2017-09-29,1720
2017-09-30,1688
2017-10-01,1821
2017-10-02,1611
2017-10-03,1614
2017-10-04,1636
2017-10-05,1399
2017-10-06,1604
2017-10-07,1850
2017-10-08,1317
2017-10-09,982
2017-10-10,1608
2017-10-11,1250
2017-10-12,1229
2017-10-13,1434
2017-10-14,1624
2017-10-15,1582
2017-10-16,1228
2017-10-17,1581
2017-10-18,1607
2017-10-19,1688
2017-10-20,1821
2017-10-21,1900
2017-10-22,1942
2017-10-23,942
2017-10-24,197
2017-10-25,902
2017-10-26,1244
2017-10-27,1702
2017-10-28,1818
2017-10-29,1079
2017-10-30,1258
2017-10-31,1394
2017-11-01,1220
2017-11-02,1417
2017-11-03,1633
2017-11-04,1753
2017-11-05,1240
2017-11-06,1152
2017-11-07,1228
2017-11-08,1214
2017-11-09,1468
2017-11-10,1584
2017-11-11,1609
2017-11-12,1504
2017-11-13,1128
2017-11-14,1173
2017-11-15,1391
2017-11-16,1360
2017-11-17,1785
2017-11-18,1357
2017-11-19,1469
2017-11-20,1398
2017-11-21,1576
2017-11-22,1455
2017-11-23,1630
2017-11-24,1248
2017-11-25,1407
2017-11-26,1407
2017-11-27,1312
2017-11-28,1329
2017-11-29,1322
2017-11-30,1256
2017-12-01,1444
2017-12-02,1508
2017-12-03,1155
2017-12-04,1263
2017-12-05,1080
2017-12-06,1227
2017-12-07,1343
2017-12-08,1311
2017-12-09,956
2017-12-10,1271
2017-12-11,1288
2017-12-12,1152
2017-12-13,1244
2017-12-14,1321
2017-12-15,1148
2017-12-16,1432
2017-12-17,1307
2017-12-18,1225
2017-12-19,1308
2017-12-20,1308
2017-12-21,1563
2017-12-22,1340
2017-12-23,1143
2017-12-24,1295
2017-12-25,1168
2017-12-26,1198
2017-12-27,1268
2017-12-28,1338
2017-12-29,1319
2017-12-30,1123
2017-12-31,962
2018-01-01,1058
2018-01-02,1110
2018-01-03,1158
2018-01-04,144
2018-01-05,824
2018-01-06,917
2018-01-07,876
2018-01-08,916
2018-01-09,1171
2018-01-10,1107
2018-01-11,1021
2018-01-12,894
2018-01-13,1402
2018-01-14,1161
2018-01-15,1072
2018-01-16,974
2018-01-17,790
2018-01-18,1114
2018-01-19,1131
2018-01-20,1402
2018-01-21,1225
2018-01-22,945
2018-01-23,860
2018-01-24,1066
2018-01-25,1095
2018-01-26,1241
2018-01-27,1278
2018-01-28,964
2018-01-29,936
2018-01-30,829
2018-01-31,1053
